,class_1,a1_1,a2_1,a3_1,a4_1,a5_1,a6_1,a6_2,a5_2,a5_3,a5_4,a4_2,a4_3,a3_2,a2_2,class_0,a2_3,a1_2,a1_3
data_329,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1
data_330,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
data_331,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
data_332,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1
data_333,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
data_334,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1
data_335,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1
data_336,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1
data_337,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
data_338,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
data_339,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1
data_340,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1
data_341,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1
data_342,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
data_343,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1
data_344,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1
data_345,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
data_346,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
data_347,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
data_348,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
data_349,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1
data_350,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1
data_351,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1
data_352,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
data_353,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1
data_354,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
data_355,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1
data_356,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1
data_357,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1
data_358,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
data_359,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1
data_360,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
data_361,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
data_362,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1
data_363,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1
data_364,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1
data_365,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1
data_366,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1
data_367,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1
data_368,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1
data_369,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1
data_370,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1
data_371,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1
data_372,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1
data_373,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1
data_374,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1
data_375,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1
data_376,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1
data_377,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1
data_378,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1
data_379,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1
data_380,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1
data_381,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1
data_382,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1
data_383,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1
data_384,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1
data_385,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
data_386,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1
data_387,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
data_388,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
data_389,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1
data_390,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
data_391,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
data_392,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
data_393,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
data_394,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
data_395,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
data_396,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
data_397,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
data_398,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
data_399,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
data_400,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
data_401,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1
data_402,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
data_403,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
data_404,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
data_405,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
data_406,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
data_407,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
data_408,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
data_409,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
data_410,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1
data_411,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1
data_412,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1
data_413,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1
data_414,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1
data_415,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1
data_416,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
data_417,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1
data_418,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
data_419,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1
data_420,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1
data_421,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1
data_422,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1
data_423,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1
data_424,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1
data_425,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1
data_426,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1
data_427,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1
data_428,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1
data_429,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1
data_430,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1
data_431,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
data_432,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1
